ACAO,COMPRA,"DT. 
COMPRA",QTDE,TOTAL OP
BBGO11,"93,14",30.08.23,5,"465,7"
BARI11,"100,81",28.06.22,4,"403,24"
RBHG11,"87,06",28.06.22,4,"348,24"
VSLH11,"9,17",28.06.22,15,"137,55"
VGHF11,"9,97",28.06.22,3,"29,91"
VGIP11,"99,49",27.06.22,5,"497,45"
VSLH11,"9,20",27.06.22,3,"27,6"
HCTR11,"113,21",27.06.22,3,"339,63"
VSLH11,"9,13",10.06.22,4,"36,52"
URPR11,"111,07",10.06.22,4,"444,28"
RBHG11,"88,54",10.06.22,5,"442,7"
SPTW11,"43,63",10.06.22,1,"43,63"
HCTR11,"112,06",09.06.22,1,"112,06"
VGHF11,"9,75",09.06.22,20,195
KNSC11,"92,24",09.06.22,5,"461,2"
VGHF11,"9,84",24.05.22,25,246
VGIP11,"99,06",24.05.22,6,"594,36"
URPR11,"110,92",24.05.22,5,"554,6"
VSLH11,"9,62",24.01.22,30,"288,6"
VGIP11,"100,78",24.01.22,1,"100,78"
RBHG11,"88,66",24.01.22,4,"354,64"
VGHF11,"10,42",24.01.22,10,"104,2"
HGRE11,"136,63",24.01.22,5,"683,15"
DEVA11,"104,05",06.01.22,5,"520,25"
TORD11,"9,76",06.01.22,15,"146,4"
HABT11,"106,80",06.01.22,5,534
HCTR11,"127,14",06.01.22,5,"635,7"
SPTW11,"45,06",06.01.22,10,"450,6"
VSLH11,"9,79",06.01.22,15,"146,85"
VSLH11,"9,56",27.12.21,5,"47,8"
CVBI11,"101,31",27.12.21,5,"506,55"
HABT11,"108,29",27.12.21,5,"541,45"
MXRF11,"10,02",30.11.21,50,501
SPTW11,"47,16",30.11.21,10,"471,6"
XPCI11,"90,21",30.11.21,3,"270,63"
VSLH11,"9,97",30.11.21,10,"99,7"
TORD11,"9,83",30.11.21,15,"9,83"
HABT11,"113,56",09.11.21,5,"567,8"
URPR11,"114,10",09.11.21,4,"456,4"
TORD11,"10,05",09.11.21,10,"100,5"
VSLH11,"10,05",09.11.21,20,201
KNSC11,"96,08",09.11.21,5,"480,4"
HCTR11,"119,80",09.11.21,1,"119,8"
RECR11,"99,09",09.11.21,5,"495,45"
BARI11,"101,70",09.11.21,2,"203,4"
SPTW11,"47,49",22.10.21,10,"474,9"
RECR11,"99,70",22.10.21,5,"498,5"
CPTS11,"98,21",22.10.21,5,"491,05"
VSLH11,"10,13",22.10.21,10,"101,3"
KNSC11,"99,35",22.10.21,5,"496,75"
HCTR11,"123,50",22.10.21,5,"617,5"
TORD11,"10,62",22.10.21,3,"31,86"
CPTS11,"98,40",09.09.21,5,492
TRXF11,"100,62",09.09.21,5,"503,1"
MCCI11,"102,93",09.09.21,5,"514,65"
MALL11,"95,34",09.09.21,5,"476,7"
HCTR11,"122,86",31.08.21,5,"614,3"
URPR11,"119,31",31.08.21,1,"119,31"
CVBI11,"103,43",03.08.21,5,"517,15"
BCRI11,"110,60",03.08.21,4,"442,4"
XPCI11,"99,86",03.08.21,5,"499,3"
URPR11,"119,40",03.08.21,4,"477,6"
TORD11,"10,52",02.06.21,5,"52,6"
BCRI11,"112,47",02.06.21,2,"224,94"
CPTS11,"99,67",02.06.21,2,"199,34"
XPCI11,"99,88",02.06.21,5,"499,4"
QAGR11,"53,01",02.06.21,10,"530,1"
CPTS11,"99,66",02.06.21,5,"498,3"
TORD11,"10,49",17.05.21,2,"20,98"
BCRI11,"118,92",17.05.21,6,"713,52"
HCTR11,"134,66",17.05.21,3,"403,98"
HCTR11,"134,59",17.05.21,2,"269,18"
CPTS11,"99,88",17.05.21,6,"599,28"
DEVA11,"109,71",06.05.21,5,"548,55"
BCRI11,"118,75",06.05.21,6,"712,5"
CVBI11,"105,47",06.05.21,3,"316,41"
BCFF11,"87,50",06.05.21,2,175
CPTS11,"102,08",04.05.21,4,"408,32"
URPR11,"126,18",04.05.21,5,"630,9"
BCFF11,"86,02",27.04.21,2,"172,04"
URPR11,"129,72",27.04.21,6,"778,32"
XPLG11,"115,38",27.04.21,1,"115,38"
URPR11,"128,56",07.04.21,6,"771,36"
TORD11,"11,40",17.03.21,5,57
URPR11,"126,55",17.03.21,4,"506,2"
TORD11,"11,41",16.03.21,5,"57,05"
CVBI11,"108,55",16.03.21,7,"759,85"
TORD11,"11,23",08.03.21,15,"168,45"
DEVA11,"118,25",08.03.21,10,"1182,5"
DEVA11,"118,03",10.02.21,5,"590,15"
TORD11,"11,63",28.01.21,5,"58,15"
CVBI11,"107,14",28.01.21,5,"535,7"
BCFF11,"91,90",27.01.21,1,"91,9"
CVBI11,"107,95",27.01.21,5,"539,75"
DEVA11,"120,00",19.01.21,5,600
HCTR11,"147,00",14.01.21,4,588
CPTS11,"102,85",13.01.21,5,"514,25"
BCRI11,"114,36",04.01.21,4,"457,44"
XPML11,"114,9",29.12.20,5,"574,5"
VTLT11,"117,45",29.12.20,5,"587,25"
BTLG11,"108,15",22.12.20,10,"1081,5"
XPCM11,49,22.12.20,25,1225
XPLG11,"119,9",22.12.20,5,"599,5"
SDIL11,"100,25",22.12.20,5,"501,25"
XPLG11,"119,8",22.12.20,4,"479,2"
BRCO11,"114,6",22.12.20,1,"114,6"
XPML11,"110,8",02.12.20,7,"775,6"
VISC11,"114,91",02.12.20,11,"1264,01"
VISC11,"113,97",01.12.20,1,"113,97"
VISC11,"113,95",01.12.20,8,"911,6"
VISC11,"112,75",08.10.20,2,"225,5"
HGBS11,"208,97",06.10.20,1,"208,97"
