"V1","V2","V3","V4",
"https://fiis.com.br/BARI11/","BARI11","24.10.2022","R$ 1,000","OK"
"https://fiis.com.br/BCFF11/","BCFF11","17.10.2022","R$ 0,560","OK"
"https://fiis.com.br/BCRI11/","BCRI11","14.10.2022","R$ 1,100","OK"
"https://fiis.com.br/BRCO11/","BRCO11","14.10.2022","R$ 0,700","OK"
"https://fiis.com.br/BTLG11/","BTLG11","25.10.2022","R$ 0,740","OK"
"https://fiis.com.br/CPTS11/","CPTS11","20.10.2022","R$ 1,050","OK"
"https://fiis.com.br/CVBI11/","CVBI11","18.10.2022","R$ 0,660","OK"
"https://fiis.com.br/DEVA11/","DEVA11","17.10.2022","R$ 0,550","OK"
"https://fiis.com.br/HABT11/","HABT11","11.10.2022","R$ 1,000","OK"
"https://fiis.com.br/HCTR11/","HCTR11","17.10.2022","R$ 1,100","OK"
"https://fiis.com.br/HGBS11/","HGBS11","17.10.2022","R$ 1,350","OK"
"https://fiis.com.br/HGRE11/","HGRE11","17.10.2022","R$ 0,780","OK"
"https://fiis.com.br/KNSC11/","KNSC11","14.10.2022","R$ 0,500","OK"
"https://fiis.com.br/MALL11/","MALL11","17.10.2022","R$ 0,800","OK"
"https://fiis.com.br/MCCI11/","MCCI11","20.10.2022","R$ 1,100","OK"
"https://fiis.com.br/MXRF11/","MXRF11","17.10.2022","R$ 0,100","OK"
"https://fiis.com.br/QAGR11/","QAGR11","10.10.2022","R$ 0,410","OK"
"https://fiis.com.br/RBHG11/","RBHG11","17.10.2022","R$ 1,200","OK"
"https://fiis.com.br/RECR11/","RECR11","17.10.2022","R$ 0,600","OK"
"https://fiis.com.br/SDIL11/","SDIL11","17.10.2022","R$ 0,790","OK"
"https://fiis.com.br/SPTW11/","SPTW11","07.10.2022","R$ 0,400","OK"
"https://fiis.com.br/TORD11/","TORD11","17.10.2022","R$ 0,070","OK"
"https://fiis.com.br/TRXF11/","TRXF11","17.10.2022","R$ 0,850","OK"
"https://fiis.com.br/URPR11/","URPR11","17.10.2022","R$ 1,310","OK"
"https://fiis.com.br/VGHF11/","VGHF11","07.10.2022","R$ 0,090","OK"
"https://fiis.com.br/VGIP11/","VGIP11","20.10.2022","R$ 0,450","OK"
"https://fiis.com.br/VISC11/","VISC11","17.10.2022","R$ 0,740","OK"
"https://fiis.com.br/VSLH11/","VSLH11","17.10.2022","R$ 0,095","OK"
"https://fiis.com.br/VTLT11/","VTLT11","10.10.2022","R$ 0,830","OK"
"https://fiis.com.br/XPCI11/","XPCI11","17.10.2022","R$ 0,880","OK"
"https://fiis.com.br/XPCM11/","XPCM11","14.10.2022","R$ 0,120","OK"
"https://fiis.com.br/XPLG11/","XPLG11","17.10.2022","R$ 0,740","OK"
"https://fiis.com.br/XPML11/","XPML11","25.10.2022","R$ 0,750","OK"
