V1,V2,V3,V4,
https://fiis.com.br/BARI11/,BARI11,22.06.2022,"R$ 1,450",ok
https://fiis.com.br/BCFF11/,BCFF11,14.06.2022,"R$ 0,540",ok
https://fiis.com.br/BCRI11/,BCRI11,15.06.2022,"R$ 1,450",ok
https://fiis.com.br/BRCO11/,BRCO11,10.06.2022,"R$ 0,650",ok
https://fiis.com.br/BTLG11/,BTLG11,24.06.2022,"R$ 0,720",ok
https://fiis.com.br/CPTS11/,CPTS11,20.06.2022,"R$ 1,120",ok
https://fiis.com.br/CVBI11/,CVBI11,17.06.2022,"R$ 1,500",ok
https://fiis.com.br/DEVA11/,DEVA11,14.06.2022,"R$ 1,600",ok
https://fiis.com.br/HABT11/,HABT11,10.06.2022,"R$ 1,400",ok
https://fiis.com.br/HCTR11/,HCTR11,14.06.2022,"R$ 1,770",ok
https://fiis.com.br/HGBS11/,HGBS11,14.06.2022,"R$ 1,250",ok
https://fiis.com.br/HGRE11/,HGRE11,14.06.2022,"R$ 0,780",ok
https://fiis.com.br/KNSC11/,KNSC11,13.06.2022,"R$ 1,350",ok
https://fiis.com.br/MALL11/,MALL11,14.06.2022,"R$ 0,720",ok
https://fiis.com.br/MCCI11/,MCCI11,20.06.2022,"R$ 1,100",ok
https://fiis.com.br/MXRF11/,MXRF11,14.06.2022,"R$ 0,110",ok
https://fiis.com.br/QAGR11/,QAGR11,08.06.2022,"R$ 0,400",ok
https://fiis.com.br/RBHG11/,RBHG11,14.06.2022,"R$ 1,300",ok
https://fiis.com.br/RECR11/,RECR11,14.06.2022,"R$ 1,721",ok
https://fiis.com.br/SDIL11/,SDIL11,15.06.2022,"R$ 0,760",ok
https://fiis.com.br/SPTW11/,SPTW11,07.06.2022,"R$ 0,400",ok
https://fiis.com.br/TORD11/,TORD11,14.06.2022,"R$ 0,070",ok
https://fiis.com.br/TRXF11/,TRXF11,14.06.2022,"R$ 0,850",ok
https://fiis.com.br/URPR11/,URPR11,14.06.2022,"R$ 2,010",ok
https://fiis.com.br/VGHF11/,VGHF11,07.06.2022,"R$ 0,140",ok
https://fiis.com.br/VGIP11/,VGIP11,20.06.2022,"R$ 1,750",ok
https://fiis.com.br/VISC11/,VISC11,14.06.2022,"R$ 0,700",ok
https://fiis.com.br/VSLH11/,VSLH11,14.06.2022,"R$ 0,120",ok
https://fiis.com.br/VTLT11/,VTLT11,08.06.2022,"R$ 0,830",ok
https://fiis.com.br/XPCI11/,XPCI11,14.06.2022,"R$ 1,220",ok
https://fiis.com.br/XPCM11/,XPCM11,14.06.2022,"R$ 0,180",ok
https://fiis.com.br/XPLG11/,XPLG11,14.06.2022,"R$ 0,680",ok
https://fiis.com.br/XPML11/,XPML11,24.06.2022,"R$ 0,680",ok
