"V1","V2","V3","V4"
"https://fiis.com.br/BARI11/","BARI11","19.08.2022","R$ 1,400"
"https://fiis.com.br/BCFF11/","BCFF11","12.08.2022","R$ 0,560"
"https://fiis.com.br/BCRI11/","BCRI11","15.08.2022","R$ 1,350"
"https://fiis.com.br/BRCO11/","BRCO11","12.08.2022","R$ 0,650"
"https://fiis.com.br/BTLG11/","BTLG11","25.08.2022","R$ 0,740"
"https://fiis.com.br/CPTS11/","CPTS11","17.08.2022","R$ 1,100"
"https://fiis.com.br/CVBI11/","CVBI11","15.08.2022","R$ 1,000"
"https://fiis.com.br/DEVA11/","DEVA11","12.08.2022","R$ 1,250"
"https://fiis.com.br/HABT11/","HABT11","12.08.2022","R$ 1,300"
"https://fiis.com.br/HCTR11/","HCTR11","12.08.2022","R$ 1,250"
"https://fiis.com.br/HGBS11/","HGBS11","12.08.2022","R$ 1,300"
"https://fiis.com.br/HGRE11/","HGRE11","12.08.2022","R$ 0,780"
"https://fiis.com.br/KNSC11/","KNSC11","11.08.2022","R$ 0,910"
"https://fiis.com.br/MALL11/","MALL11","12.08.2022","R$ 0,750"
"https://fiis.com.br/MCCI11/","MCCI11","17.08.2022","R$ 1,100"
"https://fiis.com.br/MXRF11/","MXRF11","12.08.2022","R$ 0,120"
"https://fiis.com.br/QAGR11/","QAGR11","08.08.2022","R$ 0,400"
"https://fiis.com.br/RBHG11/","RBHG11","12.08.2022","R$ 1,300"
"https://fiis.com.br/RECR11/","RECR11","12.08.2022","R$ 1,021"
"https://fiis.com.br/SDIL11/","SDIL11","15.08.2022","R$ 0,760"
"https://fiis.com.br/SPTW11/","SPTW11","05.08.2022","R$ 0,400"
"https://fiis.com.br/TORD11/","TORD11","14.07.2022","R$ 0,170"
"https://fiis.com.br/TRXF11/","TRXF11","12.08.2022","R$ 0,850"
"https://fiis.com.br/URPR11/","URPR11","12.08.2022","R$ 1,200"
"https://fiis.com.br/VGHF11/","VGHF11","05.08.2022","R$ 0,120"
"https://fiis.com.br/VGIP11/","VGIP11","17.08.2022","R$ 1,000"
"https://fiis.com.br/VISC11/","VISC11","12.08.2022","R$ 0,710"
"https://fiis.com.br/VSLH11/","VSLH11","12.08.2022","R$ 0,070"
"https://fiis.com.br/VTLT11/","VTLT11","08.08.2022","R$ 0,830"
"https://fiis.com.br/XPCI11/","XPCI11","12.08.2022","R$ 1,020"
"https://fiis.com.br/XPCM11/","XPCM11","12.08.2022","R$ 0,120"
"https://fiis.com.br/XPLG11/","XPLG11","12.08.2022","R$ 0,720"
"https://fiis.com.br/XPML11/","XPML11","25.07.2022","R$ 0,690"
