"","ACAO","QTDE","TOTAL_OP","percent","Setor","precoAtual","totalAtual","valorMedioPago","valorizacao"
"1","BARI11",6,606.64,1.27649913001357,"Papéis",84.5,507,101.106666666667,-16.4248977977054
"2","BBGO11",5,465.7,0.979931499484573,"Fiagro",90.49,452.45,93.14,-2.84517929997853
"3","BCFF11",40,438.94,0.923622788026108,"Fundo de Fundos",9.09,363.6,10.9735,-17.1640770948193
"4","BCRI11",22,2550.8,5.36742381122021,"Papéis",75.35,1657.7,115.945454545455,-35.0125450838953
"5","BRCO11",2,238.33,0.501496831162032,"Imóveis Industriais e Logísticos",124.35,248.7,119.165,4.35110980573155
"6","BTLG11",10,1081.5,2.2757052108494,"Imóveis Industriais e Logísticos",102.99,1029.9,108.15,-4.77115117891819
"7","CPTS11",320,3202.54,6.73882289963351,"Papéis",8.6,2752,10.0079375,-14.0682083596146
"8","CVBI11",30,3175.41,6.68173562975802,"Papéis",92.7,2781,105.847,-12.4207582642871
"9","DEVA11",30,3441.45,7.24154017371953,"Papéis",41.87,1256.1,114.715,-63.5008499324413
"10","EQIR11",14,142.51,0.299871243271519,"Misto",9.77,136.78,10.1792857142857,-4.02077047224755
"11","HABT11",15,1643.25,3.45774626697021,"Papéis",88.88,1333.2,109.55,-18.8680967594706
"12","HCTR11",29,3700.15,7.78589980205678,"Papéis",38.34,1111.86,127.591379310345,-69.9509479345432
"13","HGBS11",1,208.97,0.439717168665002,"Shoppings",228.6,228.6,208.97,9.39369287457529
"14","HGRE11",5,683.15,1.43749238538305,"Lajes Corporativas",134.35,671.75,136.63,-1.66874039376418
"15","HGRU11",3,404.1,0.850312044109332,"Misto",139,417,134.7,3.19227913882703
"16","HTMX11",1,164.37,0.345869316234227,"Hotéis",168.51,168.51,164.37,2.51870779339295
"17","KNSC11",150,1438.35,3.0265932408925,"Papéis",9.17,1375.5,9.589,-4.36959015538638
"18","MALL11",5,476.7,1.00307783080158,"Shoppings",118.16,590.8,95.34,23.935389133627
"19","MCCI11",5,514.65,1.08293267384526,"Papéis",95.06,475.3,102.93,-7.64597299135335
"20","MGHT11",4,248.12,0.522097066034169,"Hotéis",48.48,193.92,62.03,-21.8442689021441
"21","MXRF11",60,609.86,1.28327469245364,"Papéis",10.62,637.2,10.1643333333333,4.48299609746498
"22","QAGR11",10,530.1,1.11544274828596,"Fiagro",49.9,499,53.01,-5.86681758158838
"23","RBHG11",13,1145.58,2.41054311183066,"Papéis",92.35,1200.55,88.1215384615384,4.79844271024285
"24","RECR11",10,993.95,2.0914814556854,"Papéis",85.84,858.4,99.395,-13.6375069168469
"25","RZTR11",4,408.66,0.859907250546201,"Misto",102.95,411.8,102.165,0.768364899916804
"26","SPTW11",31,1440.73,3.03160126530472,"Lajes Corporativas",42.9,1329.9,46.4751612903226,-7.69262804272834
"27","TORD11",80,702.82,1.47888223420173,"Misto",2.25,180,8.78525,-74.3888904698216
"28","TRBL11",5,501.25,1.05473623387727,"Imóveis Industriais e Logísticos",97.81,489.05,100.25,-2.43391521197007
"29","TRXF11",6,612.04,1.28786187447829,"Imóveis Comerciais - Outros",111.88,671.28,102.006666666667,9.67910594078819
"30","URPR11",39,4738.97,9.9717972473962,"Papéis",90,3510,121.512051282051,-25.9332724199562
"31","VGHF11",60,593.79,1.24946000661143,"Misto",9.47,568.2,9.8965,-4.30960440559792
"32","VGIP11",12,1192.59,2.5094621150318,"Papéis",89.36,1072.32,99.3825,-10.0847734762156
"33","VISC11",22,2515.08,5.29226136079807,"Shoppings",120.59,2652.98,114.321818181818,5.48292698442992
"34","VSLH11",112,1086.92,2.28711003955287,"Papéis",4.15,464.8,9.70464285714286,-57.2369631619622
"35","VTLT11",5,587.25,1.2356984605375,"Imóveis Industriais e Logísticos",95.34,476.7,117.45,-18.8250319284802
"36","XPCI11",13,1269.33,2.67093933914699,"Papéis",87.3,1134.9,97.6407692307692,-10.5906265510151
"37","XPCM11",25,1225,2.57765962393945,"Lajes Corporativas",10.16,254,49,-79.265306122449
"38","XPLG11",10,1194.08,2.51259739081928,"Imóveis Industriais e Logísticos",109.9,1099,119.408,-7.96261557014604
"39","XPML11",12,1350.1,2.84089653737196,"Shoppings",115.89,1390.68,112.508333333333,3.00570328123844
